,0
0,"For Immediate Release: January 17, 2022Contacts:Office of the Governor: Macaulay Porter,Macaulay"
1,Porter@governor
2,virginia
3,govGovernor Glenn Youngkin DeliversAddress to the Joint AssemblyAs prepared for Delivery Good afternoon
4,"Standing here before you, and looking around this room, I’m struck by thehistory that’s been made in this place, the people’s house"
5,As well as the fact that the work you do here has great consequence for thepeople of Virginia
6, And so it is as we gather here today
7,Governor of VirginiaGlenn YoungkinMr
8," Speaker, Madam President, Lt"
9," Governor Earle-Sears, Chief JusticeGoodwyn, and Justices of the Supreme Court, members of the GeneralAssembly, my fellow Virginians, today we begin anew, all of us together"
10,"After years of fractured politics, a deadly pandemic, lives and livelihoods lost,soaring mental health incidents and drug overdoses, rising crime rates, ever-increasing costs for housing, food and fuel, Virginians have sent us here toturn the page"
11,They came out in record numbers to make their voice heard
12, They chose anew vision for the future
13,"Today, I want to speak to that vision and begin our partnership to address thepriorities of the people"
14,I’ve enjoyed getting to know so many of the members of these two legislativebodies both Republicans and Democrats
15,You have invited me to your homes
16, We’ve shared meals together
17, We’vedone community service together
18, And I thank you for that
19,We’re all part of Team Virginia
20,"And as I shared on Saturday, we can take inspiration from Dr"
21," Martin LutherKing’s life which we celebrate today and his words that “we may have allcome on different ships, but we’re in the same boat now"
22,"”The work we have to do, we must do together"
23,"And there isn’t a better example of people coming together on behalf ofVirginia than the brave crews, the law enforcement heroes, and the firstresponders who worked during yesterday’s storm in the freezing cold, ice andsnow to keep our streets safe, the lights on and our hospitals open"
24,"Before I speak to the work ahead, I want to recognize someone who hastraveled with me every step of the way"
25,She inspired me to live a life of faith as a younger man
26, She is an example ofhumility and strength not just to our children but to women across this greatcommonwealth
27,"She is the best partner I could ever imagine our First Lady, SuzanneYoungkin"
28,"After a year of campaigning at diners, senior centers, schools, housingprojects, courthouses…even pickup basketball games, I’ve taken the measureof our people"
29,"I’ve found them to be resilient, optimistic, courageous"
30, I listened to theirhopes and concerns their dreams and fears
31, Their stories of inspiration andstories of tragedy
32,Some cried on my shoulders
33, Some prayed over me
34, And some spoke bluntlymaybe a little too bluntly at times
35,Almost all expressed a desire for a Virginia worthy of the ambitions of itspeople
36,I come here today to echo their clarion call for change
37,To form a government that works for ordinary citizens
38, That’s a catalyst foropportunity and not an obstacle
39, And that addresses the kitchen tableconcerns of working families that are real and mounting
40,It’s been said that all great change starts at kitchen tables across America
41,"You see, that’s where families talk about what matters to them"
42, It’s also whereparents discuss their worries stagnant wages in the face of rising expensescaring for an elderly parent and trying to find a way to save for their kids’future
43,I want to share with you something that we’ve all heard from voters
44,They’re genuinely concerned that the cold halls of government aredisconnected from the cold realities families face while sitting at their kitchentables every day
45,"In that respect, we shouldn’t misconstrue record revenue for government aseconomic success for Virginians"
46,"The view from the people, whose labor generates those tax receipts is quitedifferent than the talk in Richmond"
47,They see an economy whose growth has stalled at less than 1% per year for 8years
48, With household incomes stagnating over the last year --- as the costof living has sky-rocketed
49,"They see declining schools, they see violent crime reports dominating thenews, they see record low labor participation, they see small businessesstruggling, and they see government failures and encroachments on theirliberties"
50,From the perspective of every day Virginia families times are tough
51, And thestate of our Commonwealth is not what it should be
52,Today we’re at the proverbial “tipping point” where the cash flow to thegovernment from rising tax burdens is very high
53,"And yet the impact of high costs and high taxes, and an increased regulatoryburden are clearly being felt in the real economy and the real lives ofVirginians"
54,The good news is that we have the ability to course-correct before this poorperformance becomes permanent
55,With current and projected tax driven surpluses we can lower the tax burdenson Virginia families
56,"And make crucial investments in those critical pillars to the great Virginiapromise of a lower cost-of-living, excellent schools, safe communities, a rip-roaring economy that lifts up all Virginians, and a state government thatworks for Virginians"
57,"To do that, I’m asking each of us in this body Republican and Democrat aliketo come together"
58,"To rise above the Richmond of divisive, special interest politics, the small andthe parochial to usher in a sweeping vision of changeAnd to put this commonwealth on a pathway to prosperity"
59,"On day one, we hit the ground running, signing 11 executive actions, andswearing in a full cabinet, outstanding individuals, who are qualified andshare Virginia’s values"
