,0
0,"Press Release - Wednesday, February 02, 2022Gov"
1," Pritzker Proposes Unprecedented Supplemental Pension Payment, Tripling Rainy DayFund  Balanced Budget Provides $1 Billion in One-Time Relief for Grocery, Gas and Property Taxes  SPRINGFIELD - After years of working with the General Assembly to make fiscally responsiblechoices, protect working families and pay down Illinois' debt, Governor JB Pritzker today proposedhis fourth balanced budget, delivering $1 billion in relief from grocery, gas and property taxes aswell as making unprecedented payments to state pensions and the rainy day fund"
2,"   With revenues from corporate taxes, cannabis, online sales taxes and income far exceeding initialprojections, the proposed budget provides significant one-time relief to families, while continuingthe responsible fiscal decisions that led to two credit upgrades for the state"
3,"  Building on the administration's previous efficiencies, the budget invests in critical areas of growthand services, including education, public safety and small businesses"
4,"  Select highlights include:  Family Relief Plan FiscalResponsibilityWith Strongest State Budget in Memory, Gov"
5," PritzkerDelivers Fourth Balanced Budget Proposal that PaysDown Debt and Delivers Tax Relief for Families$475 million in property tax rebates for families, with a one -time property tax rebate paymentto homeowners of 5% of property taxes paid, up to $300 for those eligible for a state incometax credit$360 million by freezing the state's tax on groceries, one of the most regressive taxes $135 million by freezing the planned increase in the gas tax, which will not jeopardize anyplanned projects ●●●●Fiscal Responsibility Investing in Education Strengthening Healthcare Support for Small Businesses and Employers●Additional $500 million directly to the Pension Stabilization Fund, reducing long-termliabilities by $1"
6,"8 billion Adds nearly $900 million to the Rainy Day Fund over FY22 and FY23 Eliminates the $898 million owed for employee health insuranceSaves $2 billion through strong fiscal management●●●●$350 million increase for Evidence Based Funding for K-12 schools$96 million increase for transportation and special education $54 million increase for Early Childhood Education $300 million to Strengthen and Grow Childcare Grants Increase MAP funding to $600 million, a one year $122 million increase, increasing the maxaward to 50% of tuition at public universities and expands eligibility to students enrolled inshort-term certificate programsPays off the $230 million unfunded liability for College Illinois!Increases funding for minority teacher scholarships  ●●●●●●●Waives licensing fees for nearly 470,000 frontline healthcare workers $180 million to preserve and expand the healthcare workforce, through Medicaid providers -focusing on underserved and rural areas $140 million to mental health care providers through rate enhancements$70 million to 9-8-8 call centers and crisis response services for mental health issues $25 million to expand the pipeline of nurses through the Illinois Community College Board ●●●●●One-year waiver of retail liquor license fees to aid restaurants, bars, and liquor license holders$38 million to Employer Training and Investment Program to assist with workforce andemployee training efforts$5 million to develop minority entrepreneurship programs and support small, minority ownedbusinesses$35 million in new capital appropriations to Rebuild Main Streets and Downtown Commercial●●●●Public Safety & Violence PreventionProtecting the Most Vulnerable The Governor looks forward to continuing to work with the General Assembly to build on Illinois'improving fiscal trajectory"
7,  Click here to review the Budget in Brief and the complete FY23 Budget Book
8,"Below, please find the Governor's remarks as prepared for delivery"
9," State of the State and Budget Address Wednesday, February 2nd, 2022 *Remarks As Prepared For Delivery*Leaders, Members, Lt"
10," Governor, First Lady"
11,
12,
13,  Joining us today are a special group of distinguishedguests
14,
15,
16," teachers, doctors, nurses and first responders"
17, I want to sincerely thank ALL of you forjoining me under the dome of the old Illinois State Capitol building
18,"  So many of you have showeduptoworkinpersonduringtheworsthealthcrisisourstatehaseverseenIfiguredtheleastICorridors to promote new investment and bring jobs to communitiesOver $800 million for violence prevention appropriations, which will more than triple Stateviolence prevention funding since FY19"
19,"  Includes appropriations for Reimagine Public Safetyand R3 grants 300 new state troopers, the single largest investment in state history to expand cadetclasses $50 million increase directly from cannabis revenues to support communities harmed byviolence, excessive incarceration and economic disinvestment $20 million to support Gang Crime Witness Protection Program $20 million for non-profits for security investments to prepare for hate crimes $5"
20,"4 million for increased staffing and equipment at new forensic lab in Decatur, afterexpanding state forensic capacity in Chicago and Joliet ●●●●●●$2 billion for services for people with developmental disabilities, including implementation of2nd phase of Guidehouse recommendations  $250 million to hire additional DCFS staff, increase rates for private partners and create newresidential capacity ●●up to work in person during the worst health crisis our state has ever seen"
21,  I figured the least Icould do as your Governor was brave a snow storm to deliver the State of the State Address
22," One year ago, I delivered a speech a few miles from here in the Orr Building at the StateFairgrounds as members of our Illinois National Guard readied the facility to serve as a massvaccination site"
23,"  Like all of you, I had hoped that that was the beginning of the end of one of themost challenging times our state and our nation has ever lived through"
24, But it wasn't the end
25,"  We continue even now to battle an invisible enemy that has challenged allour institutions and forced every single Illinoisan to confront deeply held convictions about family,work, education, healthcare, science and our collective responsibility to one another"
26, It would be the most human of tendencies to obsess during this time over one question: Why?  Whyare we going through this?  Why did it start
27,
28,
29,"why won't it end?  Why is this the slice of history weare being asked to carry? The answers to those questions remain elusive - and we cannot allow their pursuit to distract usfrom another more essential question: How will we distinguish ourselves and how will historyremember us during this time? According to legend, the famed cultural anthropologist Margaret Mead once delivered a lecture toher students that started with this question to her class: ""What was the earliest sign of humancivilization?"" The answers her students provided are what you might predict: tools, pots, weapons, iron,agriculture"
30, But Mead shook her head no to all these answers and instead held up a healed femur - a leg bonethat had broken and mended
31,"  She explained that this healing was the first sign of true civilizationbecause it meant someone had looked after this person - given them food, shelter and rest at greatpersonal sacrifice"
32,  Mead's argument was that true human civilization arrived when our ancestorschose to look out for one another despite personal risk or inconvenience
33, The question of what we owe our fellow humans has been front and center in my mind over the lastseveral years - but most especially the last 12 months
34,  And I keep returning to Margaret Mead'ssimple lesson - that the measure of any society is how willing we are to care for those who need us
35,The COVID-19 pandemic has presented us with a challenge the likes of which we have not seen ingenerations
36,  It has brought families to their breaking points - with parents especially struggling every day to tryand make the right decisions for their children as well as their own parents and grandparents
37, COVID has forced a true reckoning about what it means to work and what it means to live - nohkidfjbhldidEkifiiddimatter what kind of job you are holding down
38,  Every worker in every profession is demanding arethinking right now of the sacrifices they are being asked to make
39, Every working parent isnavigating how to hold Zoom calls with a toddler screaming in the background or facing theimpossible choice between going to their hourly job or staying home with a sick child
40,   And I talk to so many entrepreneurs who want to do right by their workers — at the same time theyhave to keep up with their competitors in order to survive
41,  But no one in our state has born a greater burden in the last twelve months than the nurses anddoctors and first responders who have had no respite from the unrelenting agony of the mostbrutal parts of the global pandemic
42, TO THE ILLINOIS MEDICAL COMMUNITY: I know that every career in healthcare begins withsomeone who wants to help sick people get well
43,"  I know that during the months and years youpracticed and trained for the job you hold now, you had to come to terms with the idea that youcouldn't save everyone - that some people would be too sick, some cases too hard to solve"
44,   I know you learned to cope with that inevitability by discovering the balance between joy and grief
45, I know that underneath that balance you felt the world owed you a promise to never let one side ofthat scale get too overwhelming
46,   And I know that you feel like that promise has been broken - that too much grief has robbed theprofession you have devoted your life to of all its joy
47,  I know that as you have watched yourhospitals fill with patients once again these last two months - that there is a small but persistentvoice inside of you asking you how much more you can take
48, I wish I could lift this burden from you
49,  I wish it with all my heart
50,"   But in the absence of the ability to do that - I feel it important to stand here, in the most visiblepublic forum I can think of, and say: I see you"
51,  Our entire state sees you
52,"  And while we can't takeaway your burden, we can directly acknowledge it and assist you in carrying some of it"
53,  And asGovernor I can offer you my most deep and heartfelt thanks on behalf of a grateful state
54,One thing we can all do right now is continue rising to the challenge of combatting the pandemichead on
55, And we are
56,  A larger percentage of Illinoisans have been vaccinated than in any other Midwestern state
57," Ourstate has led with equity, with the highest regional vaccination rates for our Black and Brownresidents"
