,0
0,"State of the Commonwealth Address  Governor Andy Beshear January 5, 2022   President Stivers, Speaker Osborne, Members of the General Assembly, Lieutenant Governor Coleman, constitutional officers, Chief Justice Minton and the justices of the Kentucky Supreme Court, secretaries of the Executive Cabinet, General Lamberton – and to all the Kentuckians around the commonwealth who are watching safely from home, including Kentucky’s First Lady and toy-drive superwoman Britainy Beshear and our children, Will and Lila"
1," And, of course, Virginia"
2, Thanks for being there for the people of Kentucky once again
3,  I am humbled to stand before you tonight to deliver my third State of the Commonwealth Address
4," In many ways, this address feels both the toughest and the most exciting"
5," We come into this New Year with excitement and optimism, with an economy booming like never before"
6," At the same time, we are all processing grief and sadness after a year of unprecedented natural disasters and a continuing pandemic"
7," We are just weeks from the deadliest tornado outbreak in state history, which took 77 lives, including one child just 6 days old"
8," Entire towns were nearly wiped off the map, leaving thousands of our brothers and sisters homeless or struggling"
9," All of this as we continue to fight a COVID pandemic that has now taken more than 12,000 of our Kentucky family, friends and neighbors and more than 828,000 of our fellow Americans"
10," But even through these trials and the pain we carry from them, I am here to report the State of our Commonwealth is strong"
11," And I am confident, even certain, that our time – Kentucky’s time – is here"
12, Our commonwealth is strong
13, It is strong because we are strong
14,"  In Kentucky, we are good people, tough people, resilient people"
15, We care deeply for one another
16," And while they may knock us down, no tornado, no pandemic, no flood, no ice storm can break us"
17, Because we do not break
18, All of America – and indeed the entire world – has now seen who we are: neighbors who open our homes and hearts to one another
19," People who embrace selflessness, generosity and love"
20," All while we were reminded that any arguments, any divisions, just aren’t that important"
21,  And not even the difficulties of our present can stop our excitement of the future
22, And good people deserve a good future
23, Our time is here
24, Kentucky is no longer a fly-over state
25, We are the destination
26,"     We are celebrating the greatest economic progress we’ve seen in our nearly 230-year history, with the largest ever private sector investment, the most new jobs and the second highest wages in state history – and we are just getting started"
27," We will talk more about this exciting time, our time"
28," But first, let’s address our trials and our tragedies"
29," 2021 was marked by the loss of far too many of our friends, family members and neighbors"
30," Everyone lost someone, maybe multiple some ones, over the last year"
31," On top of another year of painful losses to the pandemic, 2021 was bookended by natural disasters: devastating ice storms and historic flooding in January and February, and the deadly tornado outbreak in December"
32," After each of these disasters, I visited the communities that were suffering, to see the damage myself and to listen to the stories of our families"
