,0
0,"2022 State of the State Address“Changing Maryland for the Better”As Prepared for DeliveryWednesday, February 2, 2022Maryland State House, AnnapolisMy fellow Marylanders:I’m speaking to you tonight from the Old Senate Chamber of our historic State House in Annapolis"
1,"It was in this very chamber that General George Washington relinquished his command of the ContinentalForces, laying the foundation for a new republic with the first peaceful transition of power in our history"
2,"238 years ago, the Revolutionary War ended right here, in this very room, with the ratification of theTreaty of Paris"
3,"For Maryland and for our nation, this is a place where great things begin and where great things areaccomplished, and it is from this hallowed place that I have the privilege to report to you on the state ofour state"
4,What makes the state of our state strong is the caliber and character of our people
5,"Earlier today, we laid to rest three of our true heroes of the Baltimore City Fire Department who tragicallydied in the line of duty—Lt"
6," Paul Butrim, Lt"
7," Kelsey Sadler, and Firefighter Kenny Lacayo"
8,Far too often our first responders don’t get the appreciation they deserve
9," It shouldn't take a tragedy likethis to remind us of the tremendous debt we owe to all of our firefighters, police, and first responders"
10,"In memory of Kenny, Kelsey, and Paul, I ask for all the people of Maryland to find a way to say thank youto those who run toward the danger as others run from it"
11,"It has now been seven years since you first granted me the honor of serving as Maryland’s governor, andthere has not been a single day—good or bad—when I was not grateful for the privilege"
12,I’ll never forget that snowy day when I stood on the steps of this State House to be inaugurated as the62nd governor of Maryland
13,I spoke about the wedge politics and petty rhetoric being used to belittle adversaries and to inflamepartisan divisions in America
14,I vowed that day that the politics that have divided our nation need not divide our state
15,"And I pledged to create an environment of trust and cooperation where the best ideas rise to the topbased upon their merit, regardless of which side of the aisle they come from"
16,"I pledged to bring fiscal responsibility and common sense to our state capital, to make Maryland morecompetitive and our state government more responsive, to provide tax relief for families, smallbusinesses, and retirees, to improve education for Maryland’s children, to protect our environment, and torebuild our crumbling infrastructure"
17,"Our mission was to change Maryland for the better, and tonight, I’m proud to report that we have doneexactly what we said we would do, and because of that, the state of our state is strong—by any measure,stronger and better than it was when we began our mission"
18,"Together, we have changed Maryland for the better by facing our fiscal challenges head-on, easing thetax burden, and paving the way for historic economic growth and record job creation"
19,We changed Maryland for the better with record investments in education eight years in a row to prepareour children for the opportunities of the future
20,We changed Maryland for the better by protecting the health care coverage of Marylanders and providinglower insurance rates for the first time in a decade
21,"We changed Maryland for the better with historic funding for Chesapeake Bay restoration efforts, ProgramOpen Space, and other land preservation programs, and by setting bold goals to reduce greenhouse gasemissions"
22,"We changed Maryland for the better with record investments in our roads, bridges, and transit systems,transformative projects to relieve some of the worst traffic congestion in America and to expandcapabilities at the Port of Baltimore and BWI Marshall Airport, along with historic investment to ensureuniversal high-speed internet access to everyone in every corner of the state"
23,We have been able to accomplish these things despite some formidable and unforeseen challenges
24,"None of us could have imagined how we would all be tested by a once-in-a-century global pandemic andthe unprecedented turmoil it caused—the lives and livelihoods lost, the unimaginable personal andeconomic hardship"
25,We stepped up and rose to the challenge by bringing to bear the entire arsenal of government and publichealth
26,"We mobilized the citizen soldiers of the Maryland National Guard to lead strike forces into nursing homesto save the lives of our most vulnerable, to stand up surge tents at hospitals, to transport life-savingequipment, and to administer tests and vaccines"
27,"When no state in America had any testing capacity whatsoever, we led by building an entire testinginfrastructure from scratch"
28,"When hospitals were overflowing, we added 6,000 additional surge beds and stood up new fieldhospitals"
29,"When we needed to reinforce our beleaguered health care workforce and emergency personnel, weactivated the Maryland Responds Medical Reserve Corps and called retired nurses and nursing studentsinto action"
30,We built mass testing and vaccination sites all across the state and established the nation’s first VaccineEquity Task Force to get shots into arms in hard to reach and underserved communities
31,"Together, we have led one of the strongest health and economic recoveries in America thanks to theheroics of our health care workers, our emergency services personnel, National Guard soldiers andairmen, and the resilience of our small business community and all the people of our state who cametogether, looked out for one another, and who answered the call to be ‘Maryland Strong"
32,"’We have now spent nearly two years fighting this virus and it has taken far too much from us, including,sadly, 13,316 of our fellow Marylanders"
33,"But tonight there is hope, because with swift and decisive actions and the vigilance of Marylanders, I’mpleased to report that we have turned back another dangerous variant of COVID-19, and tomorrow, thestate of emergency will end in Maryland"
34,Our long-term public health response will continue
