,0
0," ** 2022 State of the State Address, as prepared for delivery ** Good afternoon"
1," Generally, when a Governor delivers a State of the State message, it happens in the Assembly Chamber in Carson City before a Legislative Session"
2,"  This year, there is no session, but with the pandemic receding I thought it was important to talk to you about our path forward"
3,"  That's why I decided to give a State of the State address here at Allegiant Stadium - a location that represents new jobs, new determination, new pride, and new progress for Nevada"
4," What you see here — this state-of-the-art building, the thousands of jobs that came with it, the incredible sports and entertainment it hosts - it all came together because people worked together: Republicans and Democrats, business and labor, north and south"
5," And you know what, that’s always the best way to get things done"
6," We got this and a lot of other things accomplished in the middle of a pandemic, because despite dealing with the worst health crisis in a century, we kept going, people persevered, determined to get things done for Nevadans: Today, our economy is one of the fastest growing in the country"
7," Tourism is up, unemployment is down"
8, Our students are back - with 100% of our classrooms in-person
9," Gaming revenues are at an all-time high, and, more importantly, wages are up, too"
10," But it’s been hard, we still face challenges every day, and the pain of the pandemic is real"
11, We’ve lost cherished friends and family
12, Our healthcare professionals and first responders have worked night and day saving countless lives
13," Teachers, administrators and support staff like bus drivers and cafeteria workers went above and beyond to get our kids back in classrooms safely"
14,"   1 Our Nevada National Guard members stepped forward to run testing stations, distribute vaccines, and care for seniors"
15," Our small businesses had to sharpen their pencils, care for their employees – while finding new ways to keep their doors open"
16," Families had to adapt: Helping kids study, working from home, trying to keep it all together"
17, The truth is we never gave up
18," And while we still have a lot more to do, we refused to let the pandemic stop our progress"
19,"  Quite simply, because of you, the state of our state is resilient and getting stronger every day"
20, Nevada is on the move
21," I’m so proud of our state, and of our people"
22," Because despite the noise we hear from some in politics, despite the partisanship that can distract and divide, I know that at our core we all care about the same things a paycheck that keeps up with cost of living, schools that teach, streets that are safe, businesses that thrive and create good jobs and a government that lives within its means"
23," Today, I’m going to talk about how, working together, we can get more done to help make your life better"
24," Right now, the cost of everything is rising"
25, We all see it
26, Nevada families are getting squeezed at the pump and at the grocery store
27," Childcare, housing, and healthcare costs are eating too much of a family’s income"
28, It’s hard to keep ahead of bills and save for things like college or retirement
29," While I can’t promise to solve the national inflation problem, I can promise to do everything in my power to help families with the rising cost of living"
30,    2 That starts with holding the line on taxes
31," Since I’ve been governor, we haven’t raised one penny of new taxes on the people of Nevada, not one penny, and that’s also true of every proposal I’m offering tonight – no new taxes, no new taxes"
32, These issues are important to me because I’ve been there
33," I raised two incredible daughters by myself, cooking dinners they didn’t like, going to the grocery store, trying to figure out childcare"
34,  Raising kids isn’t easy or cheap -- and that was over 20 years ago
35, Things have only gotten more expensive
36," So,  we’re  starting  by  investing  in  childcare  -  because  Nevadans  deserve  the opportunity  to  go  to  work  knowing  their  children  are  safe  and  have  every opportunity to succeed"
37," In the last two years we strengthened Nevada Ready!, the State’s Pre-K program, to get high-quality childcare and early education to more kids"
38," We invested over $200 million in childcare centers, to keep staff working and facilities open"
39,"  And today, I’m announcing a further investment of $160 million to help lower costs for parents and keep childcare workers on the job"
40, This investment will double the number of families we support because I believe every family from West Wendover to North Las Vegas should have access to great childcare
41, Another big concern is the rising cost of housing
42," Right now, we have too little supply for a booming demand"
43," In the last decade more than 400,000 people have moved into Nevada"
44,"  They know what a great state this is, but we have renters and buyers at all levels who are being squeezed out of the market"
45, That’s why we’ve taken steps to remedy our housing shortage
46," We provided rental assistance that helped over 43,000 Nevada families remain in their homes"
47," We helped build over 2,300 new affordable apartments last year alone"
48, For those thousands of families what really matters is keeping a roof over their head or building equity in a home
49, But there’s more to be done
50,"  3 That’s why today, I’m announcing the “Home Means Nevada” initiative – a $500 million dollar commitment to lower the cost of housing, help people stay in their homes, and create good-paying jobs"
51, The plan boosts housing construction and homeownership opportunities
52," It will help seniors retrofit their homes, to lower their costs, improve their property, and stay where they want to be"
53," And we are developing a new partnership with the AFL-CIO through our state infrastructure bank, to help fund new housing developments"
54,  This announcement marks the single largest investment in housing in our state’s history
55," Like housing, I know the rising costs of healthcare also pose a serious strain on many Nevada families"
56, I have been working with Democrats and Republicans to help solve that problem
57, We went after insurance companies and made it illegal to deny coverage for pre-existing conditions
58, We were one of the first states to crack down on “surprise billing” by hospitals and medical providers
59, We took on medical debt collectors who were preying on struggling families
60," We helped over 100,000 Nevadans purchase affordable health insurance through the Silver State Health Exchange"
61, And our new public health insurance option will make quality care affordable for even more Nevadans
62, That’s real progress
63, But we can’t let up
64," For instance, the cost of insulin has tripled over the last decade to nearly $300 per vial"
65, Lifesaving cancer drugs can cost hundreds of thousands of dollars per year
66,"    4 That’s why today, I’m announcing that Nevada will join the Northwest Prescription Drug Consortium, along with Oregon and Washington State"
67," By negotiating with drug companies together, we can start holding them accountable and get costs down"
68," But we all know healthcare isn’t just about costs, it’s about people and it’s about jobs"
69," In the coming weeks, I’ll be creating a Healthcare Workforce Committee to build on the lessons learned over the last two years"
70," We must ensure we have the nurses,  technicians,  and  doctors  we  need  so  Nevadans  can  get  the  care  they deserve"
71, Now I want to talk about one of my very top priorities
72," As someone who went to public school and as the dad of two daughters who did the same, I know how important a great education is"
73, That’s why I’ve been so passionate about getting our kids back in the classroom
74, During the pandemic we deployed $1
75,"5 billion in federal funds for masks, testing, mental health support and more - so we could reopen schools safely"
76," I am so grateful for our hardworking teachers, support staff, our exhausted parents, and our amazing students"
77, We would not be where we are today without you
78, When I took office
79, I promised to do everything in my power to make sure every child in every classroom gets a great education
80, That’s why we gave teachers their first directly funded raise in a decade
81," Why we asked educators what they needed and directly funded 11,000 projects to make schoolrooms buzz"
82, And why we raised average per pupil funding to a new high
