,0
0,"Good afternoon, and thank you for joining me today"
1,"  Thank you Senate President Courtney, after more than 40 years of public service, your imprint on Oregon will not be forgotten"
2," Congratulations to new House Speaker Dan Rayfield, and a warm welcome to all of our new legislators — you are in for quite a ride"
3,"  It is my incredible honor to, one last time, follow our tradition of addressing Oregonians at the start of the legislative session, and lay out the critical issues facing our state and how we are working to address them"
4,  I stand here today at a pivotal moment for Oregon
5," Since I took office seven years ago, the world has fundamentally changed"
6, Oregon has undoubtedly faced some of the most challenging times in our state’s history: the beginning of a global pandemic
7," Wildfire seasons that have increased in intensity, with devastating impacts to match"
8," Historic floods, ice storms and heat waves brought on by a worsening climate crisis"
9, And divisions that have deepened across our country in ways we have never experienced before
10,"   Despite these difficult times, Oregon has also fundamentally changed for the better"
11, We have accomplished some incredible work over the past few years
12, We’ve shaken up the status quo
13," Oregonians — more than ever — have come together to weather these storms, and our state is better for it"
14,   Our economy is stronger than it was before the pandemic
15,   Family incomes are on the rise
16,  The unemployment rate is near record lows
17,"   And as we continue to recover from the pandemic, together, we are building a just and equitable Oregon"
18,"  Collaboration, a deep love for Oregon, and our collective determination to continue making our state a better place for everyone have led to our successes every step of the way"
19,"   Just a few months ago, I sat in a conference room with representatives from Oregon’s timber and environmental industries"
20, These two groups could not be more opposed
21," For fifty years, they have been challenging one another with ballot initiatives and fights in the Legislature"
22, The “Timber Wars” of Oregon are not an urban legend; they were real
23,"   The meetings I convened in October were the product of more than two years of work to chart a collaborative path toward meaningful, science-based forest management"
24,"   I remember showing up for that final week of negotiations thinking that my team, as the facilitators to these conversations, had pushed the discussions to the limits"
25," Even at 10:30 on that Friday night, I honestly wasn’t sure if everybody would be driving home empty handed"
26,"   Sure enough, in the early hours of the morning, these Oregonians came together and reached an agreement"
27," As one of them said, “There’s no reason to fight forever on these issues"
28,”  That doesn’t serve anyone
29,"  1  The result? A historic agreement to update the Forest Practices Act that will ensure Oregon continues to have healthy forests, fish and wildlife, as well as economic growth for our forest industry and rural communities"
30, Issues of paramount importance to all of us who call Oregon home
31,  It is the perfect example of the “Oregon Way” — coming together and finding common ground
32, Innovating to build resilience
33, All in service to the state we love
34,"   Over and over, I’ve seen the power of collaboration and innovation during my time as Governor"
35,"   •  We increased the graduation rates for Oregon kids by 8%, and while it took almost 30 years, we finally invested in our education system"
36," The Student Success Act is making targeted investments in K-12 schools, with the goal of helping our kids graduate from high school with a plan for their future and the tools to compete in a global economy"
37," •  And to invest in an education system that truly serves Oregon children from cradle to career, we expanded early learning programs as well, so that more rural families, families of color, and those with low incomes would have access to Pre-K in the critical early years of brain development"
38," • •  We have reduced the number of children in foster care by 11% to just over 5,000 kids — our lowest number in 16 years — by investing dollars to connect families with resources earlier and more effectively"
39," In 2001, then-Senator Bev Clarno and I co-sponsored Senate Bill 770, which codified our government-to-government relationships with the nine federally recognized Tribes"
40,"  As Governor, I’ve worked with tribal leaders to strengthen these relationships, so Oregonians can continue to learn from the people who have inhabited this special place since time immemorial"
41," •  We passed the state’s largest transportation package, making a 10-year investment in Oregon’s roads, rail, bridges and ports"
42," •  Now, more than 95% of Oregonians and 100% of our children have access to health care coverage"
43," And because of our state’s commitment to equity, we continued coverage during the pandemic to ensure access to quality health care during a time when people needed it most"
44,"  •  We also led the nation by passing the most comprehensive reproductive health legislation in the country, expanding access to reproductive health services for all Oregonians"
45," •  During an era when state after state is rolling back voting rights, we were the first in the nation to pass our automatic voter registration bill, serving as a model of voter access for the country"
46,"  And yet, we had no idea how important collaboration and innovation would be until COVID-19 changed everything"
47,"  We have over 5,000 COVID infections and more than 1,000 people with COVID in our hospitals today — this is the impact in Oregon of the Omicron wave that has swept the world"
48," And while this is indeed one of our more difficult chapters of the pandemic, Oregon continues to prevail"
49,"  From its onset, managing the pandemic has required aggressive and decisive actions to preserve the health and safety of our communities"
50, And Oregonians stepped up for each other to truly make a difference
51, Thank you
52,  2  I’m so pleased to see the “Oregon Way” with the Legislature as well
53," I called five special sessions since the pandemic hit to address critical issues like providing assistance for our businesses, balancing the state budget, and getting urgent rent relief out the door for families in need"
54,"  Quite frankly, because of our work together, Oregon has fared better than most"
55, •  We remain third in the nation for lowest cumulative case counts
56," If our response to COVID matched that of the average state, more than 4,000 Oregonians wouldn’t be with us today"
57, •  We continue to be among the top states for getting shots in arms and administering boosters
58, •  And all three branches of government came together to get money to renters in need
59," In less than a year, we have helped more than 90,000 Oregonians stay safely in their homes"
60,   That’s not to say it hasn’t been hard
61, It has been utterly heartbreaking at times
62, We’ve buried friends and family
63, Our kids have suffered through remote learning
64," Our home grown small businesses, which are the heart and soul of Oregon’s economy, navigated challenges unlike ever before"
65, We’ve missed precious moments visiting with grandparents and other vulnerable loved ones
66,"   However, even with all we’ve lost, we can see a path forward"
67,  We have an opportunity before us
68," Our economy is strong, and we must keep it humming"
