,0
0,"Governor Phil Scott Delivers 2022 State of the State Address | Office of Governor Phil Scott3/20/22, 9:49 PMVERMONT OFFICIAL STATE WEBSITESTATE OF VERMONTO!ce of Governor PhilScott SEARCHCONTACTPRESS RELEASE (/PRESS_RELEASES)GOVERNOR PHIL SCOTT DELIVERS 2022 STATE OF THESTATE ADDRESS05 JANUARY 2022Montpelier, Vt"
1," - Governor Phil Scott today delivered his State of the State address to the GeneralAssembly, outlining his priorities for the 2022 legislative session and reporting on the progress ofthe last year"
2,The Governor cited the unique opportunity state government has to make transformativeinvestments that build a stronger future for Vermonters
3," He once again highlighted the criticalneed to work together to support Vermont’s workers and grow the workforce by investing intraining, education, housing and recruitment, while working to make Vermont more affordable forthose already here"
4,“This is the moment we’ve been waiting for and working towards
5," We’ve been making headway onthese issues for the last ﬁve years, putting ourselves in a position to reverse our workforce trends,revitalize every county in our state and secure the future we’ve envisioned: One where Vermonterscan ﬁnd a good job, a good school, and an affordable home in each of our 14 counties and 251 cities,towns and villages"
6, Where kids in the smallest communities have as many opportunities as kids inthe largest
7, Where young families can afford to enjoy all our state has to offer
8," And where a strongeconomy generates the tax revenue to easily serve all people, protect the vulnerable, and invest inthe things we care about most"
9,"”Governor Scott highlighted the importance of investing in education to put kids ﬁrst and supportthem from cradle to career, focusing on expanding and strengthening afterschool programs, earlycare and learning and trades training, while working to address learning loss caused by pandemichttps://governor"
10,vermont
11,"gov/press-release/governor-phil-scott-delivers-2022-state-state-addressPage 1 of 15Governor Phil Scott Delivers 2022 State of the State Address | Office of Governor Phil Scott3/20/22, 9:49 PMrestrictions"
12,"The Governor also emphasized the need to invest in safe and healthy communities, committing tofund additional support for mental health systems and to further address the overdose epidemic,while supporting public safety and helping communities grow with signiﬁcant investments in ourdowntowns, infrastructure, and focus on smart regulatory reform"
13,The speech concluded with the Governor calling on all elected ofﬁcials to rise above election yearpolitics and focus on doing the work Vermonters have entrusted to them
14,"A transcript of Governor Scott’s address is included below:Madam President, Madam Speaker, Mr"
15," Chief Justice, members of the General Assembly, and fellowVermonters:It is our tradition at the opening of the legislative session to come together and chart our course forthe work ahead"
16,"Whether in times of peace or war, prosperity or depression, those who came before us felt the samehope and optimism we share today, ready to do the work to take on new problems and solve thosethat have eluded us for years"
17,It is a day I have been a part of many times
18," I have delivered, presided over, or sat through 21 ofthese addresses"
19," And I have always felt that on this day, with all of us together, anything is possible"
20,"In this moment, we get to decide where we will focus over the coming months, which challengeswe’ll work on and those we’ll set aside to do what is best for our fellow Vermonters"
21,***It has been almost two years since we were last together in one room
22," I know your decision tolegislate remotely was a difﬁcult one, but it was the right one, for now"
23, And it proves that ourgovernment – through great adversity – can and will move forward
24,"But I think most agree remote legislating doesn’t have the same energy and emotion, comradery,cooperation, and occasional conﬂict that are essential for good policy making"
25,"And it’s left many feeling a bit nostalgic for the chance to see friends, even those we don’t alwaysagree with; for the ideas that come up in cafeteria conversations and go on to become bills and thenhttps://governor"
26,vermont
27,"gov/press-release/governor-phil-scott-delivers-2022-state-state-addressPage 2 of 15Governor Phil Scott Delivers 2022 State of the State Address | Office of Governor Phil Scott3/20/22, 9:49 PMlaws; and for the privilege to be recognized on the ﬂoor, to represent your district, to make yourcase, and to know that the voice of your constituents has been heard"
28,"Friends, we will get through this and be back together soon"
29," But for now, I know we will ﬁnd a wayto take on our challenges, to see them through, and to make a difference for those we serve"
30, ***There is no doubt the last 21 months have been difﬁcult
31," But if we are willing to make the most ofthe silver linings, there is much to be gained"
32,Thanks to the work of our Congressional Delegation – especially Senator Leahy – we’ve receivedbillions in federal aid
33," And with that aid, we came together to fund signiﬁcant needs"
34,"We rolled up our sleeves to achieve the highest vaccination rates in the country and then kept themrolled up, went to work, and passed historic investments in housing, broadband, climate change,water and sewer, and economic recovery – dedicating over $600 million to transform communities,large and small, across the state"
35,"I am pleased to report that nearly half of this funding has already been approved for release, withpublic servants in just about every agency moving projects forward every day"
36, And that is on top ofthe more than $500 million we spent on infrastructure through our typical funding sources
37,These investments will help reverse decades of economic inequity in every single county
38,"This has put us on a new path, creating more opportunities for the future than most of us thoughtpossible just a few short years ago"
39,"For these reasons, I can report to you today that the State of the State is strong"
40,"And we are growing stronger every day, so that every new generation in every county and everycommunity is healthier, better educated, and more secure and prosperous than those who camebefore"
41,"***To get there, we must be clear about the challenges we face, the problems we must solve, and thepeople and places that need our help most"
42,https://governor
43,vermont
44,"gov/press-release/governor-phil-scott-delivers-2022-state-state-addressPage 3 of 15Governor Phil Scott Delivers 2022 State of the State Address | Office of Governor Phil Scott3/20/22, 9:49 PMContinuing to navigate out of this pandemic remains one of those issues"
45," We know the next severalweeks are going to be incredibly challenging across the country, and we’ll be focused on this issue"
46,"But for today, let’s focus on the future"
47,Because we have to learn to manage life with this virus and cannot let it derail us from addressingour most fundamental challenges: Our desperate need for more people in our communities andmore workers to ﬁll the tens of thousands of jobs available in Vermont today
48,"In January 2020, when the new virus was just a ﬂeeting mention on the nightly news, I stood beforeyou and shared my biggest concern: That for years our working-age population and the number ofkids in our schools had been shrinking unsustainably, creating deep economic inequity between thenorthwestern part of our state and everywhere else"
