,0
0,SSERDDA ETATS EHT FO ETATS 2202 S’EELSNI YAJ RONREVOG2 0 2 2Action… This DayJan
1," 11, 2022 Text as preparedJoin the conversation on social media or follow along with us on Twitter"
2, Speech text available at: governor
3,wa
4,gov/2022sotsmedium
5,com/wagovernor facebook
6,com/WaStateGovtwitter
7,com/GovInsleetwitter
8,com/WaStateGovinstagram
9,"com/GovInslee To accommodate persons with disabilities, this document is available in alternative formats and can be obtained by contacting the Office of the Governor at 360-902-4111"
10,  TTY/TDD users should contact this office via  the Washington Relay Service at 711 or 1-800-833-6388
11,Visit our website at www
12,governor
13,wa
14,gov
15,2022 State of the State AddressGovernor Jay Inslee“Action 
16,
17,
18," This Day”As prepared for delivery at noon, Jan"
19," 11, 2022 State Reception Room, Washington State CapitolHello and welcome, Washingtonians, to a critical year for our state"
20,We know every day of this legislative session is going to be an opportunity to make good on our commitments and to change the course of our future for the better
21, We have begun a short session with a long list of things to get done
22, I can encapsulate the state of our state very simply – we need action
23," We can wake up every morning the next 60 days understanding we need “action, this day” – which was Churchill’s first order at the beginning of World War II, but it serves to focus on the many tasks before us"
24,"I would like to start today by thanking our frontline workers, educators and child care providers, and our state employees for all they’ve done the last two years"
25," I want to thank those who administer emergency services and plow the roads to keep Washington moving – unprecedented weather events have demanded much of you already this year, and we are all grateful"
26,Thank you to the health care workers who have worked tirelessly for two years with little time for rest
27," You are heroes, and we are grateful for your service"
28,I am happy to welcome our new members in the Senate – Yasmin Trudeau and John Lovick – and Brandy Donaghy in the House
29," My thoughts are also with the family of former state Supreme Court Chief Justice Mary Fairhurst, who we lost in December"
30,And I would like to reiterate our condolences to the family of Sen
31," Doug Ericksen, who we lost after a struggle with COVID in December"
32," He is one of more than 10,000 Washingtonians 3lost to this virus – each one of whose lives mattered"
33," And while we mourn our losses, let us also realize that because of our actions, we have saved thousands of lives"
34," We still need to contribute to the fight against COVID, that’s why attendance here today is limited, and everyone is socially distanced"
35," We’re doing everything possible to keep people safe statewide right now: We are increasing access to testing, masking, and helping educators find new ways of doing business"
36, The Legislature has been a strong partner in this pandemic
37," Last session, they extended 26 emergency orders through the end of the pandemic and made laudable investments in our recovery efforts"
38,"This has been a long effort, but we are undaunted"
39,Look at all we have done together
40," If you compare our success to others, we’ve saved more than 17,000 lives"
41, These people are still with us because of what all Washingtonians have contributed to stay safe and healthy
42,"It’s not an accident that our state continues to be named one of the best places anywhere to live, work and do business"
43," Since I’ve had the honor of being governor, we have implemented one of the best paid family leave programs in the country; provided significant new funds to schools under McCleary; passed the best environmental justice legislation in America; passed the Fair Start for Kids Act to protect child care options; and successfully created more ways to connect people to careers beyond just the college path"
44," We came back from disasters such as the Skagit Bridge collapse, the Oso landslide, historic wildfires, heat waves, drought and now unprecedented flooding"
45, You as legislators have a lot to be proud of
46, But now we are going to be called upon to do more
47,We face a variety and dimension of demands greater than ever as we enter 2022
48, We must take action this day to keep and strengthen our commitments to those in need right now and in the future
49, We must take action this day to fight the homelessness crisis; 4Governor Jay Inslee2022 State of the State Addressto reverse social and economic disparities; to educate our children and serve those in foster care; to fund our transportation system; and to protect our salmon and orca
50," We must take action, this day, to fight the threat of climate change that is now hitting us hard"
51,"Over the last year I have met people experiencing homelessness across our state, in Tacoma, Moses Lake, Walla Walla, Seattle and Spokane"
52, We have seen what works to improve people’s lives: A private place to live with a sense of dignity
53, That’s why my supplemental budget includes an unprecedented $815 million investment in safe housing for those experiencing homelessness and to create more options for those struggling with housing availability
54," This budget would also increase behavioral health services, continuing my administration’s successful investments in these life-changing programs"
55,All of us know that wrap-around services are critical to helping people out of long-term homelessness
56, It is fundamental that people not only get a roof over their heads but get access to such services
57," We must provide rapid supportive housing as soon as possible, this year"
58,We also have to realize we need more opportunities for everyone when it comes to housing
59, We can’t get more housing if there’s nowhere to build it
60,We must pass legislation that removes antiquated barriers to middle housing options in our cities – such as duplexes and town homes – and provides more housing supply to make it available to all income levels
61," Look, we cannot tell our constituents we are fighting homelessness and yet not provide ways to build more housing"
62, That means we must allow housing that meets the realities of our tremendous population and economic growth this century
