,0
0,"3/20/22, 9:33 PMGovernor Ron DeSantis’ State of the State AddressThe COVID-19 Call Center is available 24/7 1 (866) 779-6121 | COVID-19@ﬂhealth"
1,gov For Important Updates Text FLCOVID19 to 888-777HomeGovernor DeSantisFirst Lady DeSantisLt
2, Gov
3," NuñezMediaInfo CenterJudicialContactEspañolGovernor Ron DeSantis Makes Four Judicial Appointments Governor Ron DeSantis Makes Judicial AppointmentGovernor Ron DeSantis’ State of the State AddressOn January 11, 2022, in News Releases, by StaffTALLAHASSEE, Fla"
4, — Provided below is the State of the State address as prepared for delivery
5, The address is embargoed until delivery
6, Mr
7," Speaker, Mr"
8," President, members of the Legislature and fellow citizens:Together we have made Florida the freest state in these United States"
9,"While so many around the country have consigned the people’s rights to the graveyard, Florida has stood as freedom’s vanguard"
10,"In Florida, we have protected the right of our citizens to earn a living, provided our businesses with the ability to prosper, fought back againstunconstitutional federal mandates and ensured our kids have the opportunity to thrive"
11,"Florida has become the escape hatch for those chaﬁng under authoritarian, arbitrary and seemingly never-ending mandates and restrictions"
12,"Even today, across the nation we see students denied an education due to reckless, politically-motivated school closures, workers deniedemployment due to heavy-handed mandates and Americans denied freedoms due to a coercive biomedical apparatus"
13,These unprecedented policies have been as ineffective as they have been destructive
14, They are grounded more in blind adherence to Fauciandeclarations than they are in the constitutional traditions that are the foundation of free nations
15,Florida is a free state
16," We reject the biomedical security state that curtails liberty, ruins livelihoods and divides society"
17, And we will protect therights of individuals to live their lives free from the yoke of restrictions and mandates
18,Florida has stood strong as the rock of freedom
19, And upon this rock we must build Florida’s future
20,"We will, fortunately, be able to confront our challenges with an incredibly favorable budget outlook and strong economic performance that haswithstood unfavorable national headwinds:My recommended budget of $99"
21,7 billion has more than $15 billion in reserve — one of the largest surpluses in state history
22,Florida’s revenues have exceeded estimates by billions of dollars over the past year
23, December’s revenues came in at more than $500 million overthe latest monthly estimate
24,And this is all being done with no income tax and the lowest per capita tax burden in America
