,0
0,Governor Laura Kelly Delivers the 2022 State of the State Address  TOPEKA – The following is the complete transcript of Governor Laura Kelly’s 2022 State of the State Address
1,   Mr
2," Speaker, Mr"
3," President, Madam Chief Justice, Lt"
4," Governor Toland, statewide elected officials, members of the Legislature, Cabinet officers, leaders of the Kansas tribes, honored guests, and fellow Kansans"
5,"   After two years of challenges, of limited gatherings, it is my high honor to stand before you once again this evening to deliver my fourth State of the State Address"
6,   To report on our shared successes
7,   And to present a blueprint for the final year of my first term
8,"   Joining me tonight in the east gallery is the third “First Gentleman” in Kansas history, my husband, Ted Daughety"
9,   Ted has retired from practicing medicine
10,   But he returned during the pandemic to support our state's many dedicated healthcare professionals as they toiled to keep Kansans safe and healthy
11,   I'd also like to welcome my daughter Kathleen Daughety and my son-in-law Mathias Weiden
12," And I welcome, virtually, my other daughter Molly Daughety, who is watching online"
13,   I also welcome and thank my Cabinet Secretaries who are seated behind me in the west gallery
14,"   The COVID-19 pandemic brought challenges for every agency - and I could not have asked for a better, more prepared team"
15,"   They have not only faced those challenges head on, but each of them has steered their agency to be more fiscally responsible, more nimble, more efficient and more responsive than ever before"
16,"   Page 1 of 21  And finally, it is my pleasure to welcome Lt"
17," Governor David Toland and Second Lady Beth Toland, to their first State of the State in their new capacities"
18,   David took the reins as Lt
19, Governor last January after I appointed our former Lt
20," Governor, Lynn Rogers, to serve as our State Treasurer"
21,"   Lynn is a compassionate, hard-working, and dedicated public servant ---- and he has been a fantastic Treasurer"
22, Lynn has already returned more than $5 million dollars of unclaimed property to the rightful owners
23,"   Thank you, Lynn, for your leadership and your continued service"
24,"   For the past three years, Lieutenant Governor Toland has worked tirelessly as the Secretary of the Department of Commerce"
25,   He has spearheaded efforts to help small businesses weather the pandemic
26, He has rebuilt Commerce programs to - once again - make Kansas nationally and globally competitive
27,"    I'm fortunate to have him by my side, as we continue to put his economic development expertise to good use for Kansans and Kansas communities"
28,"    Thank you, Lieutenant Governor"
29,  It's not just the Lt
30, Governor and my Executive Cabinet who have gone above and beyond during the pandemic
31,   All of you seated here are serving during a uniquely challenging moment in our state’s history
32,"   And the work you're putting in, the collaboration, is helping Kansas turn the corner, paving the way for a more prosperous future for all who choose to call this place home"
33,"  Needless to say, it has been an arduous couple of years for Kansas and the nation"
34,"   We've lost loved ones, coworkers, friends, and neighbors"
35,"    Unfortunately, we continue to lose too many Kansans to this virus"
36,"   But we also saw, and we continue to see, the very best of Kansas rise up in every corner of our state"
37," Page 2 of 21    Our health care professionals have persevered, working long, hard hours, for weeks, then months, now years, to save lives"
38, They continue to be our heroes
39,"   Here with us tonight is one of our heroes: Whitney Freel, a charge nurse on the medical intensive care unit at Stormont Vail Hospital right here in Topeka"
40,"   Whitney, could you please stand for a moment"
