,0
0,"3/20/22, 9:37 PMGovernor Reeves Gives State of the State AddressSubscribePast IssuesTranslateView this email in your browserFOR IMMEDIATE RELEASEJanuary 25, 2022CONTACT: Bailey Martin press@govreeves"
1,ms
2,"govGovernor Reeves Gives State of the State AddressJACKSON, Miss"
3," — Today, Governor Tate Reeves gave his 2022 State of the State Address"
4,"Below is the full transcript; ""Thank you, Lieutenant Governor Hosemann and Speaker Gunn"
5,   To the members of the legislature and other elected ofﬁcials – thank you
6, Thank you for yourcommitment to bettering our state
7, Thank you for your dedication to our people
8,"   Together, we can do great things"
9," I look forward to partnering with you this session to continuemaking Mississippi the best state in the nation to live, to work, and to raise a family"
10,   I would also be remiss if I did not thank the person who enables me to stand here in the ﬁrstplace
11, Someone who always puts others before herself
12, Someone who is an amazingambassador for our state – our great First Lady
13," Elee, thank you for everything you do for meand for Mississippi"
14, I could not ask for a better partner and Mississippi could not ask for abetter First Lady
15,   https://us11
16,campaign-archive
17,"com/?e=[UNIQID]&u=08cb3e52aa1308600f84d49ea&id=bea2fc25521/143/20/22, 9:37 PMSubscribeGovernor Reeves Gives State of the State AddressTranslatePast IssuesMississippi has weathered great storms in the last two years"
18, We have bent but we did notbreak
19, We dug deep and we stood tall
20, We got through it all because we decided to getthrough it all together
21,"   That is why, after recession and pandemic and hurricanes and tornadoes, I can still standbefore you tonight and declare, without reservation, and without qualiﬁcation, that the state ofour state is not only strong, but stronger than it has ever been"
22,   I would like to start with what I consider to be the crowning achievement of Mississippi’s ridethrough the pandemic and recession – our educators
23,   It is the most basic promise a state government makes to its people
24, We tell every youngparent: we will be your partner in educating your child
25," Together, we will make sure that if theywork hard, they will learn what they need to know"
26,   It is a solemn promise and one that our state must fulﬁll – and it is a promise that I amdetermined to fulﬁll
27,   We all know that there are many who enjoy criticizing Mississippi
28," They trash our way of life,they trash our institutions, and they frequently deride our education"
29,"   And at times in our past, they might have been at least a little bit right about our educationalsystem"
30," But Mississippi’s schools have made a major turnaround – in fact, a turnaround ofhistoric proportions"
31,"   When you look at the data, it looks like a miracle"
32, But it is not a miracle
33," It is the product ofdedication of our teachers, a result of the intelligence of our people, and conservative,common-sense reforms enacted by many of us here today"
34," And most importantly, it isachievement that was earned by Mississippi students"
35,   Mississippi’s students with disabilities have seen a graduation rate that has doubled over thelast eight years
36," Overall, our graduation rate is now at an all-time high at 87"
37,7 percent
38," That’s,by the way, better than the national average"
39," And while the graduation rate is at an all-timehigh, the dropout rate is at an all-time low of just 8"
40,8 percent
41,   Our passing rate on Advanced Placement exams is also at an all-time high
42,   The number of students who completed career and technical courses has shot up by 36percent since 2015
43,   https://us11
44,campaign-archive
