,0
0,Missouri Governor — Michael L
1," Parson Office of Communications  1  2022 STATE OF THE STATE ADDRESS – Strong Today, Stronger Tomorrow GOVERNOR MIKE PARSON  January 19, 2022 3:00 PM (CST)  Thank you Lieutenant Governor, Mr"
2," Speaker, statewide officials, Judges of the Missouri Supreme Court, and state legislators"
3, It is an honor again to stand before you today as the 57th Governor of the Great State of Missouri
4,"  Once again, we are at an exciting time for Missouri and our future"
5, This past year we celebrated the bicentennial of our state and 150 years of the Missouri Governor’s Mansion
6,  And I am honored to have served as Missouri’s Governor during this remarkable milestone for our state
7,  The First Lady and I were fortunate to be able to tour Missouri and visit communities all across the state and witness their individual contributions to our rich history
8, From the Ulysses S
9, Grant National Historic Site in St
10, Louis to the Hubble Space Telescope in Marshfield…from Walt Disney in Marceline to Jesse James’ birthplace in Kearney…from John J
11," Pershing in Laclede to Mark Twain in Hannibal… AND how could we ever forget Maxie the Goose in small town Sumner, Missouri… After more than 45 Bicentennial stops, the First Lady and I count ourselves blessed to have experienced the history, tradition, and heart and soul of what makes Missouri great"
12," Faith, family, neighbors helping neighbors… that’s who Missourians are"
13, AND that’s what makes Missouri the best state in the United States
14,  We were also able to host the Bicentennial Parade and Inaugural Ball that was enjoyed and celebrated by Missourians from all over our state
15,"  Our historic parade included over 100 entries that proudly showcased communities all across Missouri… Including the Lincoln University Marching Musical Storm, the Budweiser Clydesdales, Chinese Dragon Dancers, and the Negro League Baseball Museum"
16,  Missouri Governor — Michael L
17, Parson Office of Communications  2  It marked the first time in our state’s history that an Inaugural Ball was held outside
18," And we counted ourselves fortunate to be able to celebrate with thousands of Missourians, many of which had never experienced an Inaugural Ball"
19,  BUT none of this would have been possible without the efforts state government undertook to lessen the impacts of COVID-19
20,"  When I stood before you last year, our limited supply of COVID-19 vaccines were available for only a small group of Missourians"
21,"  No one had a roadmap or a playbook, and we knew we faced difficult times ahead"
22,"  Nevertheless, state government accepted the challenges and prevailed by focusing on fairness in our vaccine distribution efforts"
23,"  While there will always be endless critics to tell us how we could have done it better, the facts are we were the ones in the arena"
24,  We made the tough decisions and NEVER cowered to the challenge
25,"  Today, one of our greatest successes is in the fact that more than 94 percent of Missourians 65 and older, our most vulnerable population, have received protection from this virus"
26,  AND nearly 75 percent of Missourians 18 and older have received a vaccine
27,"  Now, while we have room to improve and encourage all Missourians to consider vaccination… We have worked tirelessly to ensure that vaccines are available to every Missourian that wants one"
28,"  And we couldn’t have done it without the dedicated public servants at the Department of Health and Senior Services; State Emergency Management Agency; the Missouri National Guard; Department of Public Safety; doctors, nurses, and health care professionals; and the thousands of local partners, for their bold and heroic actions throughout the pandemic"
29,"  Joining us today, are individuals we would like to give a special thanks to… Michael McMillan and James Clark with the Urban League in St"
30," Louis and Pastor Miles and Janet Miles-Bartee with Morning Star Baptist Church in Kansas City, were instrumental in helping vaccinate some of our most vulnerable populations"
31,  Missouri Governor — Michael L
32," Parson Office of Communications  3  With these trusted leaders aiding our efforts, we were able to get hundreds of thousands in Kansas City and St"
33, Louis vaccinated
34," Additionally, seated in the upper chamber is Colonel Russell Kohl with the Missouri National Guard, who helped lead our state vaccine operations"
35, Colonel Kohl and our Missouri National Guard members worked around the clock to get vaccines to Missourians as quickly as possible
36,  Our Missouri National Guard members answered the call… and completed the mission
37," Would Michael, James, Pastor Miles, Janet, and Colonel Kohl please stand to be recognized?  Missouri is a diverse state and a one-size fits all approach will never work here"
38,"   In this state, we used common sense and took a balanced approach to the pandemic…  AND while that may not seem like a novel idea…When you look to some of the policies and mandates in other states and places… you find that common sense may not be so common"
39,"   That’s why we never had state mandates or forced businesses, schools, or churches to close"
40,   We protected lives and livelihoods
41,"  AND when it comes to COVID-19 mandates, I firmly believe that the people should have say through their local elected representatives and not be dictated by needless executive action or any one person"
42,   That’s why I don’t support and have never supported mandates and Missourians can rest assured that my position WILL NOT CHANGE
43,"  Today, our economy has nearly fully recovered, and we have the opportunity to make fundamental improvements to our state that will serve Missourians now and into the future"
44,    Missouri is STRONG today and will be EVEN STRONGER tomorrow
45,"  Missouri has a solid foundation and that is something we should all be proud of… Republicans, Democrats, and Independents … rural, suburban, and urban…  4 Missouri Governor — Michael L"
46, Parson Office of Communications   It is a foundation that has helped propel our state to new heights in just a few short years and has set us on a course to achieve even greater accomplishments
47,"  Unfortunately, it seems success can get purposely overshadowed because positive news doesn’t sell headlines"
48," But rest assured, we refuse to discount the good things happening in Missouri"
49," Whether you live in the bootheel, the Ozarks, St"
50," Louis, Kansas City, or anywhere across the state, our relentless focus on workforce development and infrastructure is paying dividends for ALL Missourians"
51,    Our unemployment rate sits at 3
52,"5 percent, that’s below where we were BEFORE the pandemic and below the national average"
53,"   And when we had an all time high of 385,000 individuals on unemployment, we knew we had to take action and solve this problem"
54,"   Missouri was one of the first in the nation to cutoff federal unemployment benefits…and today, only 21,000 are drawing benefits"
55,   This was the right call and the right thing to do
56,"  We are finding economic success, but with 116,000 job openings across the state, now more than ever, it is important to double down on workforce development and skill up our workers to fill these open jobs"
57,   We can’t be satisfied with the same as before
58, We must focus on making our state even stronger
59,"  Even during the pandemic, we created more than 21,000 NEW jobs and saw nearly $5"
60,2 BILLION dollars in private investment
61,"  In 2021, we saw new businesses and existing businesses expanding their footprint in Missouri, including:  Deli Star with nearly $100 million dollars invested and 475 new jobs in St"
62," Louis, Gateway Studios with $111 million dollars invested and more than 100 new jobs created in Chesterfield, M-E-M-C, a semiconductor manufacturing company, invested $210 million dollars and 75 new jobs created in O’Fallon, and John Deere Reman with $11 million dollars and 130 new jobs created in Springfield… Missouri Governor — Michael L"
63, Parson Office of Communications  5  BUT business investment didn’t just occur near Missouri’s urban centers
64," We saw… Carlisle Construction Materials invest $62 million dollars and create 100 new jobs in Sikeston, Swift Prepared Foods invested $250 million dollars and created nearly 400 new jobs in Moberly and Columbia,  American Foods Group plans to invest $450 million dollars and create 1,300 new jobs in Warren County Amazon created 400 new jobs in Republic,  Frozen Food Express invested $6 million dollars and created 60 new jobs in Butler, CoffeeTree Group created 50 new jobs in Marceline, a town of just 2,000 people, AND we could go on and on"
65," But the point is, whether in our small towns, big cities, or anywhere in between, Missouri is open for business…and business is GOOD"
66,  The rest of the nation is taking notice and companies are looking to our state for their future business expansions
67,"  AND while we’re at it, I want all of you to hear some of the amazing recognitions and rankings our state has earned because we ALL work together:   We are 1st in the United States for On-The-Job Training  We are 3rd in the United States for apprenticeships We are 3rd in the United States for our business tax index – far outranking all of our neighboring states"
68,   We are 4th in the United States for new manufacturing facilities  We are 4th in the United States for the best place to retire  We are 5th in the United States for our low cost of doing business Missouri Governor — Michael L
69," Parson Office of Communications  6  We are 7th in the United States for people relocating to our state We are 7th in the United States for Tech Manufacturing Growth Believe it or not…I’m only half way through… We are 8th in the United States for economic recovery, We are 8th in the United States for best place to work for nurses, We are 9th in the United States for military retirees, We are 9th in the United States for housing affordability, We are 10th in the United States for our Automobile and Aerospace industries,  We are 10th in the United States for new business expansion, We are 10th in the United States for site selection, And now Ladies, listen to this one…We are 10th in the United States for Women in Technology"
70," Later this evening when we share these rankings with each of you, I hope you promote these wins for every district…every county…every Missourian"
71,   The bottom line is Missouri’s economy is STRONG
72,"  With a historic budget surplus and federal dollars coming to our state, we want to build on our past momentum to capture even greater opportunities for the future of Missourians"
73,   But I want to remind you that our economy is strong despite federal funding
74," When other states will be using federal dollars to fill spending gaps and budget shortfalls…  We will be making investments in the future, because in Missouri, we took a common sense approach to the pandemic, never shutdown businesses, and have always had a conservative and balanced budget"
75,  You will be happy to hear that thanks to record economic performance…  Missourians will receive an additional tax cut this year
76,  Missouri Governor — Michael L
77, Parson Office of Communications  7  The tax rate will be reduced to a new low of 5
78,"3 percent, easing Missourians’ tax burden yet again"
79,"  Thanks to common sense, responsible spending, and working with the General Assembly, this will be the second (2nd) time our administration has cut taxes for Missourians"
80,"   However, we must work to maintain this strong economic position by establishing a Cash Operating Expense Fund"
81,   By setting aside an additional 2
82,"5 percent of general revenue, we will achieve financial stability when the rainy days come"
83,"  This is the responsible thing to do… this is the conservative thing to do… this is the right thing to do…  From the beginning, we challenged the legislature to support workforce development and infrastructure, strengthen our communities, and improve government"
84,   AND we have achieved some historic wins in each of those areas…together
85,"   Workforce and Education  This session, we must recommit ourselves to helping skill up our workforce and preparing the next generations for the demands of the future"
86," Over the last few years, it has become more important than ever to provide adults with opportunities to learn new skills and develop their career potential"
87,"  In just a short time, and despite the pandemic, our Fast Track program saw a 65 percent increase in participants in 2021"
88," To our surprise, 80 percent of the recipients are women and 50 percent are first-generation college students"
89,"  Additionally, more than 50 percent are enrolled in health care programs, which has become a blessing considering the past 22 months"
90,  We are happy to have two outstanding Fast Track participants from Bolivar Technical College with us here today
91, Shanisha Alexander and Bryan Webb are pursuing degrees in nursing
92, Missouri Governor — Michael L
