,0
0," Governor Doug Burgum 2022 State of the State Address February 16, 2022 Fargo Theatre  Good morning"
1," Good morning, everyone"
2, Thank you for being here in person and thanks for those that are watching online
3, I want to say welcome to everybody
4," First Lady Kathryn, my sons Joe and Tom, my daughter Jesse who is watching online, my sister Barbara and the other Burgums in the family"
5," I think everybody knows, as Brent said, when you're serving in these roles today, whether it's city commission, county commission, state legislator, any elected official the last two years, you're not in this thing alone, you’re in it and your family’s with you"
6," So again, I want to say thanks to my amazing family and a special welcome"
7, Now I've got a son who's engaged
8," So welcome, Simone"
9, Looking forward to the June wedding
10, So way to go
11, Congratulations
12,"  We've had an incredible year of progress in North Dakota, and people that are here been watching and listening"
13," Lots of exciting announcements related to value-added energy, value-added agriculture, economic development"
14," And of course, right at the forefront, pushing tirelessly to get these projects over the finish line has been one person"
15," A lot of people work to make all these happen, but I’ve got to tell you, Lieutenant Governor Brent Sanford, and all these things that are happening and all these announcements, he's at the front, he's behind the scenes, or he's leading the way making it happen"
16, We've got the best Lieutenant Governor in the nation
17, Let's give it up for Brent Sanford
18,"  As we settle into the year 2022, I think everybody here understands that the world today is a complex, changing dynamic and there are conflicts between regions and powers and superpowers and countries all over the world that at any moment may boil over"
19," And here at home, our nation, as we come out of COVID, everything's emotionally charged and politically divided"
20, In D
21,C
22,", we know we've got an administration that's pursuing regulations and policies that actually create headwinds for our two largest industries, energy and agriculture"
23,   And mainstream and social media seem to be at the forefront of everyone's thinking
24, They're competing for all of our attention all the time
25, And these are businesses that are driven by advertising supported models
26," Whether it's social media, mainstream media, they are competing for all of our attention"
27," And the best way to get us to click on something or view something or try to pay attention to something is to convince us what we should be fearing the most, what we should be afraid of, what we should be most shocked about, and that creates a dynamic for the whole country"
28,"  But right here in North Dakota, in the reality, on the ground, it's different from what you may see either nationally or internationally"
29," In North Dakota, examples even this week, where we can   get together quickly and easily and frequently get all the people together in the same room and on the same page and make things happen"
30,   Hardworking North Dakotans know that we're in the business of feeding and fueling the world
31," And as such, we're not in competition with our friend, our neighbor, the person we've never met on Facebook"
32," We're in competition with other states, and our state is in competition with other nations"
33, We're competing for talent and for workforce
34, We're competing to retain our youth and our adults
35, We're competing for the capital investment to help our state reach its fullest potential
36,   To be a North Dakotan in 2022 means that we're living in a land of incredible opportunity
37, Ours is clearly a state that's been blessed with abundant natural resources and some of the richest and most productive soil
38," We cherish our wide open spaces, the beauty of our diverse landscapes, our endless skies and our stunning sunsets"
39," Regardless of the temperature outside, it's always beautiful in North Dakota"
40," We value our God-given freedoms, perhaps like no other state, and we honor those who fight to protect them"
41,"   It's no wonder that in 2021, why North Dakota was ranked in the top five for the best state to live, the best state for families, and the best state for business friendliness"
42," We've also earned top 10 rankings in the best state for millennials, the best state to retire, the best state to start a business, and the best state for taking care of our natural environment with some of the cleanest air and water in the nation"
43," And certainly at the end of the day, what matters, perhaps most, is many sites have agreed that North Dakota is one of the happiest states in the nation"
44, Let's give yourselves a hand for all of that
45,"  Our population in North Dakota grew faster than all but three other states during the decade between 2010 and 2020, and families from near and far are finding incredible opportunities within our borders"
