,0
0,"COVID-19 INFORMATION2022 State of the State AddressWATCH LIVE: TN State of the State 2022WATCH LIVE: TN State of the State 2022January 31, 2022 Introduction Thank you very much"
1," Lieutenant Governor McNally, Speaker Sexton, Speaker Pro Tem Haile, Speaker Pro Tem Marsh, Membersof the 112th General Assembly, Justices, Constitutional Officers"
2,I first want to acknowledge someone who for the last three years has been a steadfast partner to me in this journey
3,She has also been a faithful friend to Tennesseans in distressed counties through her Tennessee Serves initiative
4,"I'm so proud of the work she has done to provide underserved Tennesseans hundreds of thousands of meals, thousands ofbackpacks, and thousands of shoes for school children"
5,"Tennesseans are proud of you, and I’m proud of you, Maria, our First Lady"
6,"A spirit of humble service matters in times of trial, and it matters in times of prosperity–So I also want to thank members of myCabinet and staff who are here tonight who have served Tennesseans tirelessly over the last year"
7,I'm thankful for each one of you
8, Thank you
9,"To everyone here and to everyone listening across this state, it is the highest honor I have to serve as your governor"
10,I am grateful that you have allowed me to serve in this position
11,"We stand here today in a different place than we were a year ago, but our gratitude to Tennesseans is unchanged"
12,You have kept this state moving forward
13,"Tennesseans like the members of the National Guard who have met the worst of circumstances with grit, and yet also providedcomfort"
14,Nurses and other health care workers who have cared for the sick
15,Teachers and administrators who have taught our children
16,Troopers and police officers and sheriffs deputies who patrol the roads and keep our neighborhoods safe
17,Small businesses who have kept their doors open and workers who have worked extra hours to keep our economy moving
18,You are what makes Tennessee exceptional
19,"Last June, we commenced Untold Tennessee, a celebration of how the ordinary makes us extraordinary, to commemorate 225years of statehood"
20,Folks along the way this year have shared with me the deep connection they feel to Tennessee
21,"Folks like my friend Wally Childress, whose family owns a century farm, Childress Farms, in West Tennessee, and has grownthousands of acres of crops since 1906"
22,Wally and Tracy are with us here tonight
23, We thank you for representing generations of families that have helped make Tennesseewhat it is
24," Please stand up, Wally and Tracy Childress"
25,"For 225 years, Tennessee has been a beacon to those who wanted something more and needed a frontier to build their Americandream"
26,"In 1965, the General Assembly recognized this and passed a resolution to adopt the state slogan: “Tennessee - America at ItsBest”"
27,"Over the years, leaders have reminded Tennesseans that America at Its Best is more than our slogan - it's our north star"
28,"However, America at Its Best means something different today than it did in 1965 or even in the last decade"
29,I think about what was going on in our country in 1965 and the very real tension of becoming a more perfect Union
30,There were moments of great optimism with the passage of the Voting Rights Act
31,There were moments of tremendous innovation as Americans stepped into space
32,"Yet, there were also great challenges in 1965 as American combat troops landed in Vietnam, and the Civil Rights movementcontinued but with painfully slow progress"
33,Tennessee - America at Its Best embraces both sides of the coin: we acknowledge our shortcomings but build on our best
34,It reminds me of the truth in Scripture: Great faith is required to keep pushing for the things not yet seen
35,"Today, our country faces challenges of a different kind, but I believe now more than ever, Tennessee embodies America at Its Best"
36,"And in order to ensure that, I am proposing a budget and America at Its Best policies that reinforce freedom, innovation,exceptionalism and optimism"
37,"Freedom: Make Government Smarter & SmallerIf we are to embody America at Its Best, that starts with acknowledging that it is our Creator who endows us with freedom, and thegovernment merely maintains that freedom"
38,"I believe now more than ever, we must show great discipline and regard for our freedoms"
39,One way we do that is through a small government that contributes to a safe and well-ordered society
40,"In recent history, big government has attempted to take over society instead of contributing to it"
41,"That’s no way to live, and Tennessee has pushed back on that big government"
42,"In fact, Tennessee has recently been ranked as one of the top five freest states in the country"
43,Folks around the country see this and are moving to our state in record numbers
44,They are fleeing states with rising crime and plummeting support for police
45,Bob and Darcy Armanino each served in the San Francisco Police Department for over 30 years
46," They recently packed upeverything they had and left behind everything they’d known, in search, as they say, of more freedom"
47, And they moved right downthe road from me
48,"Bob and Darcy are our new California neighbors, and they represent thousands of new neighbors"
49," They are here with us tonight,and we welcome them as new Tennesseans"
50, Please stand and be recognized
51,Law enforcement officials from across the country see Tennessee as a destination for more freedom
52,"Just late last year, we put out a call to officers from New York to LA who were facing restrictive mandates, and they responded"
53,We welcome these new Tennesseans who are committed to keeping our neighborhoods safe
54,My budget adds 100 additional Highway Patrol Troopers and 50 new personnel to support the mission of the TBI
55,We will also commit more than $150 million directly into law enforcement agencies to create safer neighborhoods through theviolent crime intervention grant fundviolent crime intervention grant fund
56,We are proposing more than $350 million that will support a new law enforcement training academy to ensure we have the mostprofessional force in the country
57,Our funding commitment shows a respect for the rule of law but a rejection of the defund the police movement that we have seenacross the country
58,Both drug trafficking and human trafficking are on the rise in our country and in Tennessee
59,This is unacceptable
60,"Last Wednesday, I spoke to 50 Tennessee National Guard soldiers the day before they were deployed to the Southern Border tofight the flow of fentanyl that is killing Tennesseans"
61,These men and women are deploying at a time when Border chaos is at an all-time high
62," America desperately needs our stability,especially on the Southern Border"
63,I thank Lt
64, Governor McNally and Speaker Sexton for their early support of this mission as it directly impacts the health and safetyof our state
65,We will continue our anti-human trafficking investments as Tennessee sends a loud message that those who participate in humantrafficking will be prosecuted to the fullest extent of the law
66,I also believe that communities of faith are critical to the preservation of American freedom
67,"Last year, I met with a group of Jewish leaders who conveyed their worries about safely worshiping while antisemitism is on therise"
68,"Recently, a shocked world watched as a Texas synagogue was taken hostage"
69,The rabbi credited the outcome to extensive safety training through partnership with their local law enforcement agency
70,"I have directed the Department of Safety and Homeland Security to create a plan so that every house of worship in our state canreceive high quality safety training, and we will continue to protect Tennesseans’ ability to worship freely"
71,A strong commitment to public safety includes a wise approach to criminal justice
72,I want to thank the General Assembly for the criminal justice legislation that was passed last year
73,"In the last three years, we have expanded educational pathways"
74, We have ensured every inmate has a photo ID
75, We haveincreased job opportunities for inmates
76,"Evidence clearly shows small efforts make a large impact on public safety, and we will build upon that"
77,I recently had the remarkable privilege of placing a life-changing phone call with a man who served his time in prison and was backin society
78," In fact, he’s a pastor now, here in Tennessee"
79," But, he was living with many of the burdens that currently exist for thosepreviously incarcerated"
80," It was a call to grant clemency, but it ended up being a reminder to me that people who have served theirdebt to society for the mistakes that they have made can absolutely become productive, contributing citizens to their community ifill jtlthwe will just clear a path"
81,"Pastor Quantel Lindsey and his wife Kaley are here with us tonight, and we are honored that you are"
82, Please stand and berecognized
83, I am honored you are here
84,"Innovation: Investing in the Future of TennesseeThe freedom to innovate requires a healthy balance sheet, but unfortunately, that’s not something we’re seeing at the national level"
85,The national debt recently surpassed $29 trillion
86,"That amounts to more than $220,000 per household"
87,We pay a staggering $900 million per day in national debt interest payments
88,"This is a bipartisan problem working within a broken system, but states with balanced budgets offer a guide to what could be ifWashington would just act"
89,"While Washington saddles our kids with trillions of dollars of debt, Tennessee’s strong fiscal position allows us to instead invest ontheir behalf"
90,"Education, health care, infrastructure, and economic development - all areas where we can make smart and strategic investmentsthat most states cannot"
91,"In Tennessee, we’ve also prioritized efficiency"
92,"Unlike many other states, since I’ve taken office, our employee headcount at our departments has actually reduced by five percentwithout making layoffs"
93,I thank members of the General Assembly for being partners in this prudent management approach
94,"While some are forecasting a recession, we remain prepared with a healthy savings account and minimal liabilities"
95,Our proposed budget will boost the Rainy-Day Fund to a highest-ever $1
96,6 billion
97,We have the financial capacity to innovate and approach key areas like education and infrastructure with fresh eyes
98,"With the support of thousands of Tennessee parents, I am committing to updating the 30 year-old way we fund our K-12 publicschools"
99,"I'm proposing an innovative approach that sets aside dollars for each student, based on their individual needs, and these dollarswill be used in whatever public school they attend"
100,"We have spent months engaging parents, teachers, students and stakeholders in a fully transparent process across the entirestate"
101,"The Department of Education and partners in the General Assembly have received thousands of public comments, including morethan 16 townhalls and meetings across the state"
102,"I thank every Tennessean who participated in the process especially those who served on our 18 subcommitteesI thank every Tennessean who participated in the process, especially those who served on our 18 subcommittees"
103,"It’s not just hundreds of millions of dollars on the line - it’s our kids, their childhoods, and most importantly their futures"
104,"Time and time again, we have heard the same message: we need a smarter, more transparent, accountable education fundingformula, and the time is now"
105,"A formula that prioritizes the needs of students above all else, and that pays particular attention to students with disabilities, ruralstudents, low income-students, and students with other priority needs"
106,"If we do this correctly, we can create a funding formula that demands accountability and rewards districts for performance, but mostimportantly funds students and not bureaucracies"
107,"If we do this right, then and only then, can we feel confident investing the dollars that are needed for our public schools and thefuture of Tennessee"
108,"Therefore, in tandem with this new funding formula, I am proposing $1 billion in new, recurring education spending for our publicschools across Tennessee"
109," The proposal will be finalized in the coming days, and I look forward to working with you, the membersof the General Assembly, to get this done"
110,This budget also includes one-time funding to expand high school and middle school career and technical opportunities so everystudent can graduate with the industry credential they need to join the workforce of tomorrow
111,"Let me tell you what else this one-time funding will be used for: I went to Waverly, TN after the devastating floods late last year"
112,"The tragedy, the heartache, the loss was hard to take in"
113, I walked into the elementary school where the water rose to four feet in 10minutes
114,I saw desks and backpacks and books piled up against the door where water rushed out
115," If the Waverly flood happened on Fridayinstead of Saturday, we would be mourning the loss of hundreds of Tennessee children"
116,I am proposing one-time funding to ensure that no student in Tennessee attends a public school located in a flood zone
117,"While we are improving our funding strategy, we also need to empower parents with a candid look into not only how their childrenare learning but what they are learning"
118,"The vast majority of parents believe they should be allowed to see books, curriculum and other items used in the classroom"
119,"That’s how I felt about my own kids, and I stand with those parents today"
120,We are proposing a new law that will ensure parents know what materials are available to students in their libraries
121,This law will also create greater accountability at the local level so parents are empowered to make sure content is age-appropriate
122,"As we again work to make gains in elementary reading and mathematics, we will work to ensure students have tailored options inscience, technology, engineering and technical training"
123,We will grow our investment in the Future Workforce Initiative by $2
124,5 million and will propose new legislation to make computerscience and coding available to every high school student in Tennesseescience and coding available to every high school student in Tennessee
125,We are seeing steady enrollment in our Tennessee Colleges of Applied Technology when other academic disciplines havedeclined
126,"These Tennesseans stand ready to wire our houses, build our cars and nurse our sick back to health"
127," We need them on the jobnow, not on a waitlist"
128,"So, I am committing $200 million in TCAT expansions to help double our skilled workforce by 2026 and ensure that anyTennessean wishing to further their education can immediately enroll in a TCAT"
129,"Make no mistake - Tennessee is “Working People USA,” and we will do whatever it takes to train and retrain Tennesseans so thatboth our businesses and our families can thrive"
130,The keepers of “Working People USA” have been our teachers
131,"When companies look to Tennessee for a pipeline of skilled workers, it is teachers who are busy preparing students for life beyondthe classroom"
132,"We should raise teacher pay this year by $125 million, which is a well-deserved increase into the teacher salary pool"
133,"Historically, funds put in the salary pool don’t always make it to deserving teachers"
134," When we say teachers are getting a raise,there should be no bureaucratic workaround to prevent that"
135,"In our updated funding formula, we will ensure a teacher raise is a teacher raise"
136,Increasing wages isn’t enough to address a teacher shortage and record number of retirements
137,"In 2020, we launched a program to get more high school seniors to pursue teaching and even remain within the communities thatraised them"
138,"Our program, called Grow Your Own, is now nationally recognized as a model for building a pipeline of qualified educators"
139,"It is the first time teaching has been recognized by the federal government as an apprenticeship pathway, and that path starts righthere in Tennessee"
140,The Grow Your Own model is proof that giving kids real skills and a roadmap will solve the greatest challenges of the day
141,So much of innovation begins with doing research and committing to reaching full potential
142,"At the higher education level, we’re investing $90 million in our nationally-highlighted outcomes-based funding formula"
143,"With this level of funding, I would expect zero tuition increases for our public universities"
144,We are also proud to propose a series of research investments to ensure we stay on track to be America at Its Best
145,"Recently, the University of Memphis received a Carnegie R1 designation making it a top-tier school for research"
146,We will now have what’s known as an R1 institution in each grand division
147,"We are proposing $50 million toward a research endowment to propel work that will make Memphis a global leader in AgriTech,cybersecurity, and the digital workforce"
148,Meeting our full potential also means being home to some of the best historically black colleges and universities in the country
149,"Back in November 2020, the Speakers appointed a Joint Land Grant Committee, chaired by Representative Harold Love, toexplore how the state can better understand the new needs of Tennessee State University"
150,"Today, I'm recommending a $250 million dollar investment to improve the physical infrastructure at TSU"
151,Our commitment to innovation will continue east right through the Oak Ridge corridor
152,"We’re investing more than $70 million to complete the Oak Ridge Innovation Institute, which is a partnership with the University ofTennessee to invest in data science, technology, advanced materials, and much more"
153,"For decades, East Tennessee has been home to some of the best kept secrets in nuclear energy and American innovation"
154,"Today, many may not realize that Tennessee derives more power from nuclear energy than from any other source"
155,"Recently, I visited the TVA’s Watts Bar nuclear facility, the last nuclear facility to be built in America, to see firsthand how nuclearpower keeps our grid dependable even when the weather is not"
156,Nuclear power is clean energy that actually works for the private sector
157,"It has enabled us to land major economic projects because not only is it clean, but it is also cheap to produce"
158,"Tennessee’s expanded nuclear potential rests at the Clinch River site as one of the few undeveloped, certified nuclear sites in thecountry"
159,We are working directly with TVA to formalize a long-term strategy so the Clinch River site can be part of powering America
160,"If we’re going to have a real conversation about energy in America, it needs to be safe, cheap to produce, and reliable"
161, I believethat conversation starts right here in Tennessee at the Clinch River site
162,Our state is one of the fastest growing states in the country
163,We have an obligation to future generations to invest in our roads and bridges to accommodate that economic growth
164,My budget proposes accelerating the IMPROVE Act by allocating $100 million to ensure progress on critical projects
165,"I'm also proposing more than $170 million toward interchange improvements in 12 counties across the state that will propeleconomic growth in rural areas, because if we want to look at what’s right about America, we’ve got to look at rural Tennessee"
166,I'm also proposing more than $250 million toward road infrastructure projects in the fastest growing counties
167,"All of these amount to well over $600 million additional dollars invested in road infrastructure, over and above what was already inplace, and that is what meeting our obligation to the future looks like"
168,"Exceptionalism: Preserving What’s Best About AmericaEarlier, I mentioned Tennesseans are what make our state exceptional"
169,"I recently watched President Reagan’s farewell address, made just before he left office in January of 1989"
170,"As many other Presidents have done, his farewell address includes a warning to the American people"
171,He reminds us that what we want to have in this country is “informed patriotism
172,"”Then, speaking about American history, he says, “If we forget what we did, we won't know who we are"
173,"”He said, “I'm warning of an eradication of the American memory that could result, ultimately, in an erosion of the American spirit"
174,”But he offered a solution by saying: “Let's start with some basics: more attention to American history and a greater emphasis oncivic ritual
175,"”Some 30 years later, those words are still true, and now more than ever, it is important that we teach true American history,unbiased and non-political"
176,"Two years ago, we launched the Governor’s Civics Seal program which included grants to support public schools implementinghigh-quality civic education programs"
177,"Since then, we’ve nearly tripled the size of the program, and thousands of Tennessee students have received this education, andwe expect the opportunity to grow"
178,The Fordham Institute recently ranked us as one of the top five states for civics education
179,I’m proud of the “informed patriots” graduating from our Tennessee schools
180,"But there is still more to do, especially if we want to provide Tennessee parents with more educational choices"
181,"Two years ago, I traveled to Hillsdale College to participate in a Presidents Day celebration and spend time with champions ofAmerican exceptionalism"
182,"For decades, Hillsdale College has been the standard bearer in quality curriculum and the responsibility of preserving Americanliberty"
183,"I believe their efforts are a good fit for Tennessee, and we are formalizing a partnership with Hillsdale to expand their approach tocivics education and K-12 education"
184,Informed patriotism should stretch beyond the K-12 classroom and into higher education
185,"In many states, colleges and universities have become centers of anti-American thought, leaving our students not only ill-equippedbut confused"
186,"But, in Tennessee, there’s no reason why our institutions of higher learning can’t be an exceptional part of America at Its Best"
187,I’m including in my budget $6 million to establish the Institute of American Civics at the University of Tennessee
188,"This will be a flagship for the nation - a beacon celebrating intellectual diversity at our universities and teaching how a responsible,civic-minded people strengthens our country and our communities"
189,"However, our universities not only face internal threats, but are facing very real external threats as foreign powers target them tosteal or influence American research"
190,"The federal government estimates more than $225 billion worth of intellectual property is stolen each year by China, much of this atinstitutions of higher learning"
191,"Last year, we shut down Confucius Institutes at our public Tennessee universities to cut ties with an organization that is working forthe Chinese Communist Party"
192,The State of Tennessee has to remain vigilant with regard to countries and foreign entities who don’t have our best interests inmind
193,Our administration has also strengthened our vetting approach to ensure we do not spend state dollars or incentivize any companydoing the work of foreign adversaries
194,"We’re doing this to protect our Tennessee economy, our taxpayer dollars and our American security"
195,"Our state will continue to be a destination for other global companies who are honest brokers, and we welcome them to the table"
196,Good faith partnership is core to the American spirit
197,"And while we welcome foreign investment, we also welcome individuals from other countries who have legally made Americahome, and that is something we should always value"
198,It’s been said that Americans by birth need to spend time with Americans by choice from time to time to help remind us all of whatmakes this country so exceptional
199,An American by choice who has impacted me is Rocky Ghazi
200, He is a Kurdish refugee from Iraq and a proud American citizen bychoice
201, He also serves our state as a trooper in the Tennessee Highway Patrol
202,"Rocky and his wife Jeehan are here with us tonight, and we’re proud that you call Tennessee home"
203, Please stand and berecognized
204,Optimism: Best State for FamiliesTennessee fulfills America at Its Best because of our optimism
205,"Optimism that our best days are ahead of us, and that we can be the best place in the world for families to form and thrive"
206,My office has proposed and supported some of the soundest pro-life legislation in the country
207,"Thanks to our partners in the legislature, we passed thoughtful laws that protected the unborn and supported expecting mothers"
208,"If the federal courts return full authority to the states, Tennessee’s laws will automatically provide the maximum possible protectionand offer a glimmer of redemption as America reconciles our troubled past"
209,I believe Tennessee can be a major part of that reconciliation by offering both hope and resources to families in crisis
210,This begins with mothers and continuing big investments in their health
211,TennCare’s Health Starts Initiative will now have the funding to put an even greater emphasis on maternal health and holistic carefor mothers and children
212,"Our support for families will continue through Tennessee Fosters Hope, where we have certified new foster families, offered traumatraining statewide, recruited ""foster friendly"" businesses, and moved many children into forever homes"
213,I'm proposing the funding of relative caregiver placements which will allow extended families to keep loved ones close by
214," We arealso proposing a childcare support program for all foster families, regardless of their DHS eligibility"
215,You can’t be the best state for families unless you’re the best state for all families
216, I believe we have significant work to do inimproving access to health care for Tennessee families
217,"Because of our prudent fiscal management, we’re making huge investments in rural healthcare in this budget"
218," And that meansactual care, not just keeping hospitals open"
219,"We need qualified, dedicated physicians and staff in rural areas"
220,We are dedicating more than $18 million to attract 150 new primary care residents for rural Tennessee
221,"Because of the confidence we have in our block grant waiver, we are able to make significant investments in health care, includingan additional $55 million in our Medicaid Pathways to Independence program"
222,This simply means more benefits and smarter spending for our TennCare population
223,"We are dramatically expanding dental care for more than 600,000 TennCare recipients through a $25 million dollar investment andworking on a multi-year commitment to broaden dental services across the state"
224,It’s no secret that the opioid epidemic has ravaged many of our communities all across Tennessee
225,"Therefore, we are increasing investment to support addiction recovery through mobile units and improved walk-in care"
226,"In spite of this challenge of opioid addiction, we are at a hopeful moment thanks to a tireless fighter who serves our state"
227,Our Attorney General Herbert Slatery has worked to ensure every county in Tennessee is entitled to part of the $26 billion dollarsuit against pharmaceutical companies who fueled the opioid tragedy
228,General Slatery is a national leader who was recently recognized as the Best Attorney General in America
229," General Slatery, pleasestand, and let Tennesseans say thank you for all you have done"
230,"From education to infrastructure,From economic development to healthcare,This budget is bold and balanced, and most importantly, it doesn’t ask Tennesseans for a penny more in taxes"
231,"Members of the General Assembly, the state of our state is strong, and I look forward to working with you to make it stronger, yet"
232,"ClosingTennessee is, in fact a beacon for America, a harbinger of opportunity, of security, of freedom"
233,"We are the reminder of what can be, but is not yet, very much like the formation of a more perfect Union"
234,Every child doesn’t yet have access to a high-quality education
235,Every neighborhood is not yet safe
236,Every family doesn’t yet have opportunity
237,But what I know is this
238,"Every single member of the Tennessee General Assembly, every court justice, every constitutional officer, and this governor knowsthat if anybody can do it, Tennessee can"
239,"In First Chronicles, scripture describes the leaders of ancient Israel at a particular time in its history"
240,These leaders are described as ones who understood their times and knew what they should do
241,May we be those leaders
242,May we ensure that the beacon that is Tennessee - America at Its Best - shines brighter than ever before
243,May the Lord grant His favor upon the great state of Tennessee
244, Thank you
245, 
0,"3/20/22, 9:31 PMGovernor Dunleavy Addresses Alaskans in Fourth State of the State – Mike DunleavyOﬃce of GovernorMIKE DUNLEAVYYou are here: Home / Press Releases / Governor Dunleavy Addresses Alaskans in Fourth State of the StateGovernor Dunleavy Addresses Alaskans in FourthState of the StateJanuary 26, 2022Alaska Governor Mike Dunleavy addressed Alaskans and the Legislature tonight in his fourth State of the Statespeech, expressing a positive vision for Alaska’s future by working together"
1," He delivered his speech beforemembers of the Senate and House, in person, in the House chambers in contrast to the virtual delivery last yearbecause of COVID-19"
2,"ndWith the second half of the 32  Legislative Session underway, Governor Dunleavy emphasized ﬁscal restraintalongside a budget surplus"
3, He spoke of crime rates going down and Alaska recovering from economicdevastation from the pandemic
4," He praised Alaska’s ﬁrsts in the ﬁght against COVID, while still protectingAlaskans’ medical freedom"
5," He spoke of building our own supply chain for food security, investing in publicsafety, the health care system, mental health bed capacity and of gaining energy independence, and unlockingopportunity with high-speed broadband in rural areas"
6, He expressed challenging a federal government that istrying to shut down resource development in Alaska and also pledged ﬁghting for Alaskans’ share of theresource wealth through the permanent fund dividend
7,"In the House chambers tonight, Governor Dunleavy recognized ﬁve inspiring Alaskans and one stellar Alaskanwho could not attend"
8, Read more about the honored Alaskans here
9,View the livestream of the State of the State address
10,  Read the full 2022 State of the State
11,The following are key excerpts from the State of the State address as prepared for delivery
12,"  Despite Obstacles, Open for Business“The state of our ﬁscal situation has vastly improved from the budget deﬁcit of $1"
13,6 billion I inherited upon takingoﬃce
14," Thanks in part to our ﬁscal restraint over the past three years, we’re on track for a budget surplus in thecurrent ﬁscal year for the ﬁrst time in a decade"
15,"Based on current trends, we could see revenue in the current year increase by more than $281 million over thefall forecast and by $466 million in the upcoming ﬁscal year"
16, This can generate a surplus even without one-timefederal funds
17,”Alaskans Are Safer Todayhttps://gov
18,alaska
19,"gov/newsroom/2022/01/26/governor-dunleavy-addresses-alaskans-in-fourth-state-of-the-state/1/63/20/22, 9:31 PMGovernor Dunleavy Addresses Alaskans in Fourth State of the State – Mike Dunleavy“When I ﬁrst stood before this chamber three years ago, I declared war on criminals and asked for theLegislature to repeal and replace the catch-and-release policies in SB 91"
20," With the help of many of you, we got itdone"
21, Policies do matter
22, We’ve seen our overall crime rate decline by 10 percent in 2019 and another 18
23,"5percent in 2020! According to the FBI, reported property crimes are at the lowest level since 1974"
24, The murderrate has declined by a whopping 31 percent from 2019 to 2020
25, We all remember the huge spike in car theftsafter SB 91 was signed in 2016
26," Following the repeal of SB 91, vehicle thefts were down 54 percent in 2020compared to 2017"
27, Burglary and larceny theft dropped by 22 percent from 2019 to 2020; robberies dropped byalmost 15 percent in the same time
28, These ﬁgures from the FBI are indisputable
29," Never again can we putcriminals ahead of victims, or social engineering ahead of public safety"
30,"”Permanent Fund’s $82 Billion Value “Our Permanent Fund is now worth $82 billion, and our multi-billion-dollar pension gap is virtually closed"
31, Theperformance of the Permanent Fund solidiﬁes our state government’s ﬁscal situation by smoothing out the highsand lows in oil prices
