,0
0," News Weather Sports Health Small TownsFlood Warning Is In EffectADVERTISEMENT48°Green Bay, WIComplete text of Gov"
1," Evers' State of the State AddressWord cloud showing, by size, the frequency of words used in Gov"
2, Tony Evers' 2019 State of the State address
3, Click on the image to view it full-size
4, (WBAY)Published: Jan
5," 22, 2019 at 4:48 PM ESTAs provided to Action 2 News:Honorable Supreme Court Justices, tribal nation leaders, Constitutional Oﬃcers, Major General Dunbar and the members of the Wisconsin NationalGuard as well as active and retired members of our armed forces, Senate President Roth, Majority Leader Fitzgerald, Minority Leader Shilling,Speaker Vos, and Minority Leader Hintz, cabinet members, legislators, distinguished guests, and, most importantly, people of Wisconsin: welcome,and thank you for being here"
6,"Before we get started, I also want to recognize someone else who’s here with us tonight"
7," He’s a Wisconsin institution and embodies both the soul ofour campus and the spirit of our state, marching band director and director of bands at the University of Wisconsin-Madison, Dr"
8, Mike Leckrone
9,This year marks The Professor’s 50th and ﬁnal year leading UW’s marching band as he will be retiring at the end of this year
10, He’s directed halftimeshows for nearly half of Camp Randall’s existence and has seen coaches and chancellors and band members come and go
11," But even more than the“stop at the top” or the 5th Quarter post-game routines, The Professor will be remembered for what a remarkable leader, teacher, and inspirer he’sbeen, not just for his students, but for people across our state"
12," So, tonight, we honor The Professor and thank him for his service"
13,"I’d also like to introduce my former junior prom date, Kathy, who’s up there in the gallery tonight"
14," My daughter, Katie, is also here tonight, and myother kids are I’m sure watching from home with my grandkids who are going to be up way past their bedtime"
15, Thank you for supporting me — I loveyou all
16,"ADVERTISEMENT News Weather Sports Health Small TownsI’m Tony Evers, and I’m incredibly honored to be here tonight as the 46th governor of the great state of Wisconsin to say the state of our state is thatwe’ve got work to do, and we’re ready for bipartisan solutions"
17,"You know, a few weeks ago, I stood just outside of here where I took the oath of oﬃce and delivered my inaugural address"
18," And I remind you today,just as I did weeks ago, of the spirit of our service, of the power that we have, and the responsibility that we bear"
19,We are a state forged by the Wisconsin Idea -- the notion that education informs our public policy and that knowledge should embrace thecommunities we're called to serve
20," But today, we are also a state among the worst to raise a black family, and we are a state that’s spending moreon corrections than our entire UW System"
21,"We are a state that once cultivated new technology -- from typewriters to automobiles, we’ve led the nation in innovation"
22," But today, we are a statethat’s behind on broadband expansion, and we trail the country in start-ups and small business creation"
23,"We are a state that was the birthplace of BadgerCare, and we’ve been a laboratory for democracy"
24," But today, we are also a state where it’s becomecheaper to get healthcare by driving across the Mississippi River"
25,The realities we face are bigger than me or any political party
26," The magnitude of our challenges requires us to put people ﬁrst because, as I’ve said,that is the promise of our service"
27,"So, tonight, I’m asking you to join me in making good on that promise by moving forward, together"
28,Fixing our economy remains a priority
29," That’s why just last week I directed the Wisconsin Economic Development Corporation to create aninnovation and entrepreneurship committee focusing on supporting our small businesses, seeding capital funds, and technology development"
30,But there is more to an economy than counting job creation
31, And the state of our state is more than just our unemployment rate
32,"The opportunity we have to oﬀer is not just the number of jobs we create; it’s counted, too, by the number of workers who will work forty hours eachweek and still won’t make enough to keep their family out of poverty"
33,"The strength of our success is not found solely in ﬁscal surplus; it’s deﬁned, too, by the number of our kids who will go to school hungry tomorrow"
34,"The metric for our posterity is not just what we keep in the coﬀers for a rainy day; it’s measured, too, by the quality of the natural resources we’releaving behind for our kids and their kids after them"
35,"ADVERTISEMENTThe state of our state is the work of Lisa, who is also in the gallery tonight"
36, Lisa is the Founder and President of the Foundation for Black Women’sWellness
37," The Foundation serves more than 1,000 women and girls working to eliminate health disparities aﬀecting Black women, their families, andtheir communities"
